OPERA	Opera
OPERM	Opera Mini
WEBTV	WebTV
EDGE 	Edge
IE 	Internet Explorer
POCKE	Pocket Internet Explorer
KONQU	Konqueror
ICAB 	iCab
OMNIW	OmniWeb
FIREB	Firebird
FIREF	Firefox
BRAVE	Brave
PALEM	Palemoon
ICEWE	Iceweasel
SHIRE	Shiretoko
MOZIL	Mozilla
AMAYA	Amaya
LYNX 	Lynx
SAFAR	Safari
IPHON	iPhone
IPOD 	iPod
IPAD 	iPad
CHROM	Chrome
ANDRO	Android
GOOGL	GoogleBot
CURL 	cURL
WGET 	Wget
UCBRO	UCBrowser
YANBO	YandexBot
YANIR	YandexImageResizer
YANIB	YandexImages
YANVB	YandexVideo
YANMB	YandexMedia
YANBB	YandexBlogs
YANFB	YandexFavicons
YANWB	YandexWebmaster
YANDB	YandexDirect
YANME	YandexMetrika
YANNB	YandexNews
YANCB	YandexCatalog
SLURP	Yahoo! Slurp
W3CVA	W3C Validator
BLACK	BlackBerry
ICECA	IceCat
NOKIS	Nokia S60 OSS Browser
NOKIA	Nokia Browser
MSN 	MSN Browser
MSNBO	MSN Bot
BINGB	Bing Bot
VIVAL	Vivaldi
YANDE	Yandex
NETSC	Netscape Navigator
GALEO	Galeon
NETPO	NetPositive
PHOEN	Phoenix
PLAYS	PlayStation
SAMSU	SamsungBrowser
SILK 	Silk
I_FRA	Iframely
COCOA	CocoaRestClient
UNKNO	 unknown
